WKT,address_id,source_dataset,change_id,full_address_number,full_road_name,full_address,territorial_authority,unit_type,unit_value,level_type,level_value,address_number_prefix,address_number,address_number_suffix,address_number_high,road_name_prefix,road_name,road_type_name,road_suffix,water_name,water_body_name,suburb_locality,town_city,address_class,address_lifecycle,gd2000_xcoord,gd2000_ycoord,road_name_ascii,water_name_ascii,water_body_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.8183304667 -41.3328877),1384131,AIMS,1213176,20,Tukanae Street,"20 Tukanae Street, Strathmore Park, Wellington",Wellington City,,,,,,20,,,,Tukanae,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8183305,-41.3328877,Tukanae,,,Strathmore Park,Wellington,Tukanae Street,"20 Tukanae Street, Strathmore Park, Wellington",174.8183305,-41.3328877
POINT (174.8180004833 -41.3328590833),1384132,AIMS,1667711,20B,Tukanae Street,"20B Tukanae Street, Strathmore Park, Wellington",Wellington City,,,,,,20,B,,,Tukanae,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8180005,-41.33285908,Tukanae,,,Strathmore Park,Wellington,Tukanae Street,"20B Tukanae Street, Strathmore Park, Wellington",174.8180005,-41.33285908
POINT (174.81841845 -41.3327588833),1384134,AIMS,1213177,18,Tukanae Street,"18 Tukanae Street, Strathmore Park, Wellington",Wellington City,,,,,,18,,,,Tukanae,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8184185,-41.33275888,Tukanae,,,Strathmore Park,Wellington,Tukanae Street,"18 Tukanae Street, Strathmore Park, Wellington",174.8184185,-41.33275888
POINT (174.8181019167 -41.3326750833),1384135,AIMS,1667713,18B,Tukanae Street,"18B Tukanae Street, Strathmore Park, Wellington",Wellington City,,,,,,18,B,,,Tukanae,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8181019,-41.33267508,Tukanae,,,Strathmore Park,Wellington,Tukanae Street,"18B Tukanae Street, Strathmore Park, Wellington",174.8181019,-41.33267508
POINT (174.8182921833 -41.3326572833),1384136,AIMS,1667714,18A,Tukanae Street,"18A Tukanae Street, Strathmore Park, Wellington",Wellington City,,,,,,18,A,,,Tukanae,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8182922,-41.33265728,Tukanae,,,Strathmore Park,Wellington,Tukanae Street,"18A Tukanae Street, Strathmore Park, Wellington",174.8182922,-41.33265728
POINT (174.81789185 -41.3346992333),1415045,AIMS,1671939,39A,Tukanae Street,"39A Tukanae Street, Strathmore Park, Wellington",Wellington City,,,,,,39,A,,,Tukanae,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8178919,-41.33469923,Tukanae,,,Strathmore Park,Wellington,Tukanae Street,"39A Tukanae Street, Strathmore Park, Wellington",174.8178919,-41.33469923
POINT (174.8180818833 -41.3338901),1415093,AIMS,1671947,34A,Tukanae Street,"34A Tukanae Street, Strathmore Park, Wellington",Wellington City,,,,,,34,A,,,Tukanae,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8180819,-41.3338901,Tukanae,,,Strathmore Park,Wellington,Tukanae Street,"34A Tukanae Street, Strathmore Park, Wellington",174.8180819,-41.3338901
POINT (174.8183381167 -41.33359145),1420512,AIMS,1240548,30,Tukanae Street,"30 Tukanae Street, Strathmore Park, Wellington",Wellington City,,,,,,30,,,,Tukanae,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8183381,-41.33359145,Tukanae,,,Strathmore Park,Wellington,Tukanae Street,"30 Tukanae Street, Strathmore Park, Wellington",174.8183381,-41.33359145
POINT (174.8183475333 -41.3334458),1420514,AIMS,1240549,28,Tukanae Street,"28 Tukanae Street, Strathmore Park, Wellington",Wellington City,,,,,,28,,,,Tukanae,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8183475,-41.3334458,Tukanae,,,Strathmore Park,Wellington,Tukanae Street,"28 Tukanae Street, Strathmore Park, Wellington",174.8183475,-41.3334458
POINT (174.8190478833 -41.3333279),1424238,AIMS,1243616,9,Tukanae Street,"9 Tukanae Street, Strathmore Park, Wellington",Wellington City,,,,,,9,,,,Tukanae,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8190479,-41.3333279,Tukanae,,,Strathmore Park,Wellington,Tukanae Street,"9 Tukanae Street, Strathmore Park, Wellington",174.8190479,-41.3333279
